Código,Codel old,Descripción,Unidad de Medida,Cuenta contable,Estado
30151,,TAPAS PLASTICAS PARA ANILLADO; PRESENTACION TAMAÑO CARTA; COLOR SURTIDO; ESPESOR MEDIO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30152,,TUBO DE MINAS; DIAMETRO 0.5 mms.; NUMERO HB COLOR AZUL,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30153,,PORTAMINAS; MATERIAL METAL; DIAMETRO MINA 0.5 mms.; COLOR PORTAMINAS A ELECCION,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30154,,AMBIENTADOR LIQUIDO; FRAGANCIA A ELECCION; ENVASE FRASCO CON ATOMIZADOR; CONTENIDO 500 cms.³,FRASCO,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30155,,ARRANCADOR PARA TUBO FLUORESCENTE; TIPO ESTANDAR DE 20 W; CORRIENTE ADMISIBLE 220 Volts.,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30156,,DISCO COMPACTO; CAPACIDAD 6 GB; TIPO DVD VIRGEN,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30157,,CAJA DE CARTON ESPECIAL PARA ARCHIVO; MEDIDAS 15.5 X 40 X 26.5 cms.; Nº DE CARTON 18,PIEZA,PRODUCTOS DE ARTES GRÁFICAS,ACTIVO
30158,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP 3500N; COLOR TINTA NEGRO; SERIE Q2670A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30159,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP 3500N; COLOR TINTA CYAN; SERIE Q2671A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30160,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP 3500N; COLOR TINTA AMARILLO; SERIE Q2672A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30161,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP 3500N; COLOR TINTA MAGENTA; SERIE Q2673A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30162,,FRANELA PARA LIMPIEZA; MEDIDAS 0.93 X 1 mts.; PRESENTACION POR METRO,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30163,,MARCADOR; PUNTA REDONDA; TRAZO DELGADO; COLOR NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30164,,TINTA PARA SELLO DE GOMA; TIPO SIN ACEITE; ENVASE FRASCO; CONTENIDO 28 ml.; COLOR VERDE,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30165,,TINTA PARA SELLO DE GOMA; TIPO SIN ACEITE; ENVASE FRASCO; CONTENIDO 28 ml.; COLOR ROJO,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30166,,TINTA PARA SELLO DE GOMA; TIPO SIN ACEITE; ENVASE FRASCO; CONTENIDO 28 ml.; COLOR NEGRO,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30167,,TINTA PARA SELLO DE GOMA; TIPO SIN ACEITE; ENVASE FRASCO; CONTENIDO 28 ml.; COLOR AZUL,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30168,,ACCESORIO PARA COMPUTADOR; TIPO              TECLADO,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
30169,,PAPEL BOND; TAMAÑO CARTA; GRAMAJE 75 grs.; COLOR AMARILLO; PRESENTACION PAQUETE X 500 Hojas,PAQUETE,PAPEL,ACTIVO
30170,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP 1320 N; COLOR TINTA NEGRO; SERIE Q5949A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30171,,MARCADOR PARA DISCOS COMPACTOS; COLOR SURTIDO; PUNTA REDONDA; TRAZO FINO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30172,,BANDEJA PORTAPAPELES; MATERIAL PLASTICO; TAMAÑO OFICIO; TIPO 3 PIEZAS; COLOR A ELECCION,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30173,,ALMOHADILLA;  MATERIAL CUERPO PLASTICO; MATERIAL ALMOHADILLA TELA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30174,,PORTA CD; CAPACIDAD 1 UNIDAD; MATERIAL PLASTICO; TIPO DELGADA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30175,,GRAPAS; MATERIAL METALICO; NUMERO 24/6; PRESENTACION 1000 X CAJA,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30176,,PAPEL FOTOGRAFICO; RESOLUCION PARA IMPRESORA LASER; ESPESOR 170 grs.; TAMAÑO A-4; PRESENTACION POR HOJA,PIEZA,PAPEL,ACTIVO
30177,,TUBO FLUORESCENTE; LONGITUD 60 cms.; COLOR LUZ CALIDA; VOLTAJE 220 Volts.; FORMA RECTA; POTENCIA 20 W,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30178,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 4250N; COLOR TINTA NEGRO; SERIE Q5942X,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30179,,SELLO; TIPO FOLIADOR AUTOMATICO; NUMERO 6 DIGITOS,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30180,,ENCHUFE; TIPO CLAVIJA; AMPERAJE 15 Amp,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30181,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 2430 DTN; COLOR TINTA NEGRA; SERIE 11AQ6511A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30182,,TONER PARA FOTOCOPIADORA; COLOR NEGRO; MODELO DE FOTOCOPIADORA CANON IR-2016; NUMERO DE SERIE GPR-18,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30183,,PILA RECARGABLE; TIPO 700 MAH; TENSION 1.2 Volts.; MEDIDA AAA,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30184,,REFIL; DESTINO CANON IP-1600; CAPACIDAD 1 LITRO COLOR NEGRO,LITRO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30185,,REFIL; DESTINO CANON IP-1600; CAPACIDAD 1 LITRO COLOR ROJO,LITRO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30186,,REFIL; DESTINO CANON IP-1600; CAPACIDAD 1 LITRO COLOR AMARILLO,LITRO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30187,,REFIL; DESTINO CANON IP-1600; CAPACIDAD 1 LITRO COLOR AZUL,LITRO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30188,,CINTA ADHESIVA; ANCHO 5 CMS; LARGO ROLLO 40 MTRS; MATERIAL PAPEL; TIPO MASQUIN,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30189,,CINTA ADHESIVA; ANCHO 18 mms.; LARGO ROLLO 20 mts.; MATERIAL POLIPROPILENO; TIPO TRANSPARENTE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30190,,PAPEL PARA PLOTTER; GRAMAJE 80 grs.; DIMENSION 90 cms.; TIPO BOND; PRESENTACION ROLLO DE 50 mts.,ROLLO,PAPEL,ACTIVO
30191,,TAMPO PARA SELLOS CON TINTA; MATERIAL PLASTICO; MEDIDAS 12.5 X 8.5 cms.; COLOR DE TINTA NEGRO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30192,,TAMPO PARA SELLOS; MATERIAL PLASTICO; MEDIDA 10 X 12 cms.,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30193,,PILA RECARGABLE; TIPO NI-MH 750; TENSION 3 Volts.; MEDIDA AA PAQUETE X 4,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30194,,PESTAÑAS; COLOR SURTIDO; PRESENTACION CAJA DE 10 JUEGOS; MEDIDA 15 X 2 cms.,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30195,,CORTAPICOS; AMPERAJE 10 Amp; NUMERO DE TOMAS 6; VOLTAJE 220 Volts.; TIPO DE ENCHUFE COMPATIBILIDAD TODO LOS  ESTILOS DE ENCHUFE,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30196,,MICROPUNTA; PUNTA 0.7; COLOR TINTA NEGRO; PRESENTACION POR UNIDAD,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30197,,MICROPUNTA; PUNTA 0.7; COLOR TINTA AZUL; PRESENTACION POR UNIDAD,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30198,,LAPIZ; COLOR BICOLOR ROJO-AZUL; NUMERO HB; ADITAMENTO SIN,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30199,,ENGRAPADORA; CAPACIDAD MINIMO 30 HOJAS;  MATERIAL METALICO; TAMAÑO GRAPAS 24/6 -26/6,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30200,,TACOS POST IT; COLOR SURTIDO; DIMENSION 76 X 76 mms.; PRESENTACION BLOCK X 100 HOJAS,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30201,,TONER PARA FOTOCOPIADORA; COLOR NEGRO; MODELO DE FOTOCOPIADORA MINOLTA CSPRO 4000; NUMERO DE SERIE EP-470Z/4230/4232/4233/4250,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30202,,PAPEL MULTICOLOR PARA CUBO; DIMENSION 9 X 9 cms.; PRESENTACION PAQUETE X 500 HOJAS,BLOCK,PAPEL,ACTIVO
30203,,ETIQUETA AUTOADHESIVA; TIPO PARA CD; MEDIDA ESTANDAR 2 X HOJA; COLOR CUBIERTO COMPLETO BLANCO; PRESENTACION POR HOJA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30204,,MICROPUNTA; PUNTA 0.7; COLOR TINTA ROJO PRESENTACION POR UNIDAD,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30205,,PLACA TOMACORRIENTE; NUMERO DE TOMAS 4; NORMA DE ENCHUFE NORMAL DE 20 A; MATERIAL PLÁSTICO; COLOR A ELECCIÓN,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30206,,FASTENERS; CAPACIDAD MAX. HOJAS 200; NUMERO 2; PRESENTACION 50 X CAJA,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30207,,MARCADOR; PUNTA REDONDA; TRAZO DELGADO; COLOR AZUL,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30208,,MARCADOR; PUNTA REDONDA; TRAZO DELGADO; COLOR ROJO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30209,,TAMPO PARA SELLOS CON TINTA; MATERIAL METALICO; MEDIDAS 9 X 11 cms.; COLOR DE TINTA ROJA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30210,,BANDEJA PORTAPAPELES; MATERIAL METALICO; TAMAÑO OFICIO; TIPO CON 3 PIEZAS CORREDIZAS; COLOR METALICO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30211,,CALCULADORA DE ESCRITORIO; NUMERO DE DIGITOS 12; ALIMENTACION SOLAR Y PILAS; TAMAÑO MEDIANO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30212,,FOCO BAJO CONSUMO; POTENCIA 42 W; TIPO DE LUZ BLANCA; VOLTAJE 220 VOLTS.; TIPO ROSCA NORMAL,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30213,,FOCO BAJO CONSUMO; POTENCIA 36 W; TIPO DE LUZ BLANCA; VOLTAJE 220 Volts.; TIPO ROSCA NORMAL,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30214,,GUANTES DE TRABAJO; MATERIAL LANA C/PALMA ENGOMADA C/PERFORACIONES DE RESPIRO; TALLA A ELECCION; PRESENTACION POR UNIDAD,PAR,PRENDAS DE VESTIR,ACTIVO
30215,,TINTA PARA TAMPO; COLOR ROJO; ENVASE FRASCO; CONTENIDO 24 ml.,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30216,,TINTA PARA TAMPO; COLOR AZUL; ENVASE FRASCO; CONTENIDO 24 ml.,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30217,,TINTA PARA TAMPO; COLOR NEGRO; ENVASE FRASCO; CONTENIDO 24 ml.,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30218,,PAPEL HIGIENICO; NUMERO DE HOJAS 2; COLOR BLANCO; TIPO EXTRA SUAVE,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30219,,CINTA ADHESIVA; ANCHO 2 1/2 cms.; LARGO ROLLO 40 mts.; MATERIAL PAPEL; TIPO MASQUIN,ROLLO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30220,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET P4014N; COLOR TINTA NEGRO; SERIE CC364A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30221,,TINTA PARA TAMPO; COLOR VERDE; ENVASE FRASCO; CONTENIDO 24 ML.,FRASCO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30222,,FOLDERS; MATERIAL PLASTICO CON TAPA TRANSPARENTE; TAMAÑO CARTA; COLOR SURTIDO; CON FASTENER; PRESENTACION POR UNIDAD,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30223,,CASCO DE SEGURIDAD; CLASE CASCO DE SEGURIDAD; COLOR BLANCO; MATERIAL PLASTICO; NORMAS MSA; TIPO NORMAL; IMPACTO ALTO; PESO 395 grs.; SISTEMA DE SUSPE,PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
30224,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 1006; COLOR TINTA NEGRA; SERIE CB435A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30225,,LIQUIDO PROTECTOR PARA SUPERFICIES; USO PARA VINILO; PRESENTACION FRASCO; ATOMIZADOR INCLUIDO,FRASCO,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30226,,CINTA PARA EMBALAJE; MEDIDAS 48 mms.; COLOR TRANSPARENTE; MATERIAL POLIPROPILENO; LARGO 100 YARDAS,ROLLO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30227,,LLANTA PARA AUTOMOTOR; MEDIDAS 205/ R16 8PR; HUELLA TODO TERRENO,PIEZA,LLANTAS Y NEUMATICOS,ACTIVO
30228,,TACOS POST IT; COLOR SURTIDO; DIMENSION 40 X 50 mms.; PRESENTACION BOLSA X 4 TACOS X 100 HOJAS,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30229,,"GRAPAS; MATERIAL METAL; NUMERO 23/10;
PRESENTACION PAQUETE X 10 CAJITAS",CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30230,,CAJA PARA CONECTOR RJ11; TIPO TELEFONICO CON CAJA SOBREPUESTA CON ADHESIVO; ACCESORIO CON ROSETA SIMPLE,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30231,,TAMPO PARA SELLOS CON TINTA; MATERIAL PLASTICO; MEDIDAS 9 X 13 cms.; COLOR DE TINTA NO INCLUYE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30232,,CHINCHES; NUMERO 9.5 mms.; COLOR DIFERENTES COLORES TIPO PLASTICO; PRESENTACION CAJA X 50 UNIDADES,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30233,,PROTECTOR DE OREJAS; MATERIAL PLASTICO; TIPO SEGURIDAD,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30234,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET P2055DN; COLOR TINTA NEGRA; SERIE CE505A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30235,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP CP 2025 N; COLOR TINTA MAGENTA; SERIE CC533A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30236,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP-CP 2025 N; COLOR TINTA AMARILLO; SERIE CC532A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30237,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP-CP 2025 N; COLOR TINTA CYAN; SERIE CC531A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30238,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP-CP 2025 N; COLOR TINTA NEGRO; SERIE CC530A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30239,,DESINFECTANTE PARA SANITARIOS; CONTENIDO 900 ml.; ENVASE FRASCO,FRASCO,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30240,,CABLE SERIAL; TIPO ADAPTADOR; CONECTORES DB9 A USB; PRESENTACION POR PIEZA,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30241,,"PORTA CREDENCIAL; POR UNIDAD, CON SUJETADOR Y GANCHO; TIPO CINTA CON LOGOTIPO INSTITUCIONAL",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30242,,SOBRE; TIPO DE PAPEL MANILA; DOBLE CARTA,PIEZA,PAPEL,ACTIVO
30243,,SOBRE MEMBRETADO; TAMAÑO CARTA.; TIPO DE PAPEL MANILA.,PIEZA,PAPEL,ACTIVO
30244,,SOBRE MEMBRETADO; TAMAÑO OFICIO.; TIPO DE PAPEL MANILA.,PIEZA,PAPEL,ACTIVO
30245,,SOBRE; TIPO DE PAPEL MANILA; DOBRE OFICIO,PIEZA,PAPEL,ACTIVO
30246,,FRANELA PARA LIMPIEZA; MEDIDAS 0.35 X 0.35 mts.; PRESENTACION POR PIEZA,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30247,,MARCADOR; PUNTA CINCELADA; TRAZO GRUESO mms.; COLOR AZUL; TIPO PERMANENTE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30248,,ENGRAPADORA; CAPACIDAD 70 Hojas; TAMAÑO GRAPAS 26/6-24/6,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30249,,PORTACUBOS METALICO; TAMAÑO 9.5 X 9.5 X 5.4 cms.; CAPACIDAD 500 Hojas,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30250,,GEL LIMPIAMANO; PRESENTACION FRASCO DE 380 ml.,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30251,,BANDERILLAS POST-IT; MEDIDA 1.2 X 4.5 cms.; COLOR SURTIDO; PRESENTACION PAQUETE DE 5 COLORES,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30252,,TINTA PARA PLOTTER; MODELO DEL PLOTTER HP DJ510; COLOR NEGRO; CODIGO DEL CARTUCHO HP 82 CH565A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30253,,TINTA PARA PLOTTER; MODELO DEL PLOTTER HP DJ510; COLOR AMARILLO; CODIGO DEL CARTUCHO HP82 C4913A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30254,,TINTA PARA PLOTTER; MODELO DEL PLOTTER HP DJ510; COLOR MAGENTA; CODIGO DEL CARTUCHO HP 82 C4912A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30255,,TINTA PARA PLOTTER; MODELO DEL PLOTTER HP DJ510; COLOR CYAN; CODIGO DEL CARTUCHO HP82 C4911A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30256,,CARTULINA; TIPO LISA; GRAMAJE 180 grs; COLOR SURTIDO; TAMAÑO OFICIO; PRESENTACION POR HOJA,HOJA,PAPEL,ACTIVO
30257,,TOALLA DE PAPEL; COLOR BLANCO; DIMENSION 21 X 22 cms.; PRESENTACION ROLLO,ROLLO,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30258,,TONER PARA IMPRESORA; MODELO DE IMPRESORA LASET JET HP CP 1525 NW; COLOR TINTA NEGRO; SERIE CE 320A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30259,,DISCO COMPACTO; CAPACIDAD 25 GB; TIPO BLU RAY,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30260,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERT JET P1606DN; COLOR TINTA NEGRO; SERIE CE 278A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30261,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET P1102W; COLOR TINTA NEGRO; SERIE CE285A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30262,,ARCHIVADOR DE PALANCA; MATERIAL CARTON PLASTIFICADO; TAMAÑO OFICIO BORDE METAL; LOMO ANCHO COLOR,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30263,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET M401DN; COLOR TINTA NEGRO; SERIE CF280A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30264,,TONER PARA IMPRESORA; MODELO DE IMPRESORA LASER JET PRO 400 COLOR M451; COLOR TINTA AMARILLO; SERIE CE 412A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30265,,TONER PARA IMPRESORA; MODELO DE IMPRESORA LASER JET PRO 400 COLOR M 451; COLOR TINTA NEGRO; SERIE CE 410A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30266,,TONER PARA IMPRESORA; MODELO DE IMPRESORA LASER JET PRO 400 COLOR M451; COLOR TINTA MAGENTA; SERIE CE 413A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30267,,TONER PARA IMPRESORA; MODELO DE IMPRESORA LASE JET PROCOLOR M451; COLOR TINTA CYAN; SERIE CE 411A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30268,,TONER PARA FOTOCOPIADORA; COLOR NEGRO; MODELO DE FOTOCOPIADORA CANON IR 2525; NUMERO DE SERIE GPR-34,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30269,,SOBRE MEMBRETADO; TAMAÑO CARTA; TIPO DE PAPEL MANILA pza,PIEZA,PRODUCTOS DE ARTES GRÁFICAS,ACTIVO
30270,,SOBRE MEMBRETADO; TAMAÑO OFICIO pza; TIPO DE PAPEL MANILA,PIEZA,PRODUCTOS DE ARTES GRÁFICAS,ACTIVO
30271,,PAPEL CARBONICO; FORMATO TAMAÑO OFICIO; PRESENTACION CAJA POR 100 HOJAS.,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30272,,CABLE COAXIAL PARA RADIOCOMUNICACIONES; TIPO CONECTOR; PRESENTACION METRO,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30273,,TONER PARA IMPRESORA; MODELO DE IMPRESORA PRO 400; COLOR TINTA NEGRO; SERIE CF410A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30274,,TONER PARA IMPRESORA; MODELO DE IMPRESORA PRO400; COLOR TINTA CYAN; SERIE CF411A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30275,,TONER PARA IMPRESORA; MODELO DE IMPRESORA PRO400; COLOR TINTA AMARILLO; SERIE CF412A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30276,,TONER PARA IMPRESORA; MODELO DE IMPRESORA PRO400; COLOR TINTA MAGENTA; SERIE CF413A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30277,,TONER PARA IMPRESORA; MODELO DE IMPRESORA LASERJET ENTERPRISE M-605; COLOR TINTA NEGRO; SERIE CF 281A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30278,,LLANTA TUBULAR PARA AUTOMOTOR; MEDIDAS 245/70 R17 10PR; TODO TERRENO,PIEZA,LLANTAS Y NEUMATICOS,ACTIVO
30279,,PAPEL FOTOGRAFICO; RESOLUCION PARA IMPRESORA LASER; ESPESOR 120; TAMAÑO A-4; PRESENTACION POR HOJA,PIEZA,PAPEL,ACTIVO
30280,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 508 A; COLOR TINTA NEGRO; SERIE CF 360 A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30281,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 508A; COLOR TINTA AMARILLO; SERIE CF 362 A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30282,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 508 A; COLOR TINTA CYAN; SERIE CF 361 A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30283,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 508 A; COLOR TINTA MAGENTA; SERIE CF 363 A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30284,,PAPEL RECICLADO; PRESENTACION PAQUETE; TAMAÑO CARTA; GRAMAJE 75 grs.; COLOR BEIGE,PAQUETE,PAPEL,ACTIVO
30285,,PORTA CREDENCIAL; POR UNIDAD; TIPO PLASTICO RIGIDO; TIPO SOBRE; SENTIDO VERTICAL,PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
30286,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET ENTERPRISE M651; COLOR TINTA MAGENTA; SERIE CF 333A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30287,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET ENTERPRISE M651; COLOR TINTA AMARILLO; SERIE CF 332A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30288,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET ENTERPRISE M651; COLOR TINTA CYAN; SERIE CF 331A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30289,,FOCOS LED; TIPO TUBO; COLOR BLANCO; TENSION 220 Volts.,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30290,,"TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET PRO M402, MFP M426 pza; COLOR TINTA NEGRO; SERIE CF226A.",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30291,,FOCOS LED; TIPO ROSCA NORMAL; COLOR BLANCO; TENSION 220 VOLTIOS,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30292,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET ENTERPRISE M607DN; COLOR TINTA NEGRO; SERIE CF237A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30293,,TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASERJET ENTREPRICE M561DN; COLOR TINTA NEGRO; SERIE CF-330X,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
