continent,country,year,fertility,lifeExpectancy,mean_house_income,median_age_year,population
Asia,Lebanon,1995,2.62,73.2,6630.0,21.7,3960000.0
Africa,Liberia,1995,6.16,50.3,246.0,17.1,2140000.0
Africa,Libya,1995,3.64,74.6,12000.0,19.7,4730000.0
North America,St. Lucia,1995,2.89,71.4,1240.0,20.8,152000.0
Asia,Sri Lanka,1995,2.29,70.9,1730.0,24.8,18200000.0
Africa,Lesotho,1995,4.55,57.1,789.0,17.7,1930000.0
Europe,Lithuania,1995,1.64,69.0,2930.0,33.0,3750000.0
Europe,Luxembourg,1995,1.71,76.6,19300.0,35.6,408000.0
Europe,Latvia,1995,1.36,66.7,3480.0,34.9,2570000.0
Africa,Morocco,1995,3.3,67.7,2460.0,19.6,26600000.0
Europe,Moldova,1995,1.9,66.0,1690.0,31.0,4460000.0
Africa,Madagascar,1995,5.98,57.9,716.0,16.2,13900000.0
Asia,Maldives,1995,4.3,68.7,1350.0,15.8,258000.0
North America,Mexico,1995,3.02,72.3,3100.0,20.3,90000000.0
Europe,North Macedonia,1995,1.98,70.7,2740.0,31.1,1980000.0
Africa,Mali,1995,7.06,51.7,492.0,15.2,9920000.0
Europe,Malta,1995,1.97,77.8,10800.0,34.1,382000.0
Asia,Myanmar,1995,3.04,57.0,375.0,21.6,42900000.0
Europe,Montenegro,1995,1.98,74.3,3100.0,30.5,632000.0
Asia,Mongolia,1995,2.74,59.5,1670.0,19.0,2330000.0
Africa,Mozambique,1995,5.96,52.6,381.0,16.8,15600000.0
Africa,Mauritania,1995,5.77,61.3,1510.0,16.6,2380000.0
Africa,Mauritius,1995,2.14,71.1,2650.0,26.3,1160000.0
Africa,Malawi,1995,6.42,46.3,1280.0,15.7,10100000.0
Asia,Malaysia,1995,3.31,71.8,4950.0,21.9,20100000.0
Africa,Namibia,1995,4.59,60.3,2390.0,17.6,1610000.0
Africa,Niger,1995,7.73,48.6,506.0,15.4,9810000.0
Africa,Nigeria,1995,6.26,54.6,846.0,16.7,108000000.0
North America,Nicaragua,1995,3.78,71.5,2030.0,16.6,4720000.0
Europe,Netherlands,1995,1.53,77.7,13800.0,34.9,15400000.0
Europe,Norway,1995,1.87,78.0,16100.000000000002,35.1,4360000.0
Asia,Nepal,1995,4.72,61.8,762.0,18.2,22300000.0
Oceania,New Zealand,1995,2.11,76.8,12800.0,31.6,3670000.0
Asia,Oman,1995,5.35,67.9,7050.0,18.8,2170000.0
Asia,Pakistan,1995,5.34,60.3,1130.0,16.7,133000000.0
North America,Panama,1995,2.85,76.5,4720.0,21.9,2720000.0
South America,Peru,1995,3.32,71.5,2500.0,20.0,24400000.0
Asia,Philippines,1995,4.01,69.8,1750.0,19.1,69300000.0
Oceania,Papua New Guinea,1995,4.67,63.2,1060.0,17.9,4620000.0
Europe,Poland,1995,1.73,72.0,2500.0,33.0,38400000.0
Asia,North Korea,1995,2.12,61.8,1170.0,26.9,22400000.0
Europe,Portugal,1995,1.46,75.5,8240.0,35.1,10100000.0
South America,Paraguay,1995,4.11,75.4,4810.0,18.5,4600000.0
Asia,Qatar,1995,3.59,71.8,6560.0,28.1,515000.0
Europe,Romania,1995,1.37,69.4,1690.0,33.0,22500000.0
Asia,Russia,1995,1.34,64.8,4930.0,33.9,149000000.0
Africa,Rwanda,1995,6.17,46.4,670.0,13.6,5690000.0
Asia,Saudi Arabia,1995,4.98,69.4,9090.0,19.3,18900000.0
Africa,Sudan,1995,5.83,61.3,979.0,15.1,23300000.0
Africa,Senegal,1995,6.0,59.2,877.0,16.0,8630000.0
Asia,Singapore,1995,1.67,77.1,14500.0,31.3,3540000.0
Oceania,Solomon Islands,1995,5.2,56.6,1620.0,16.6,375000.0
Africa,Sierra Leone,1995,6.61,50.6,777.0,17.1,4320000.0
North America,El Salvador,1995,3.58,71.6,2190.0,18.5,5750000.0
Africa,Somalia,1995,7.65,50.3,408.0,15.5,7210000.0
Europe,Serbia,1995,1.89,70.6,3890.0,37.2,7980000.0
Africa,South Sudan,1995,6.55,55.8,662.0,15.4,5300000.0
Africa,Sao Tome and Principe,1995,5.55,64.1,1150.0,15.9,133000.0
South America,Suriname,1995,3.01,70.9,2550.0,21.2,434000.0
Europe,Slovak Republic,1995,1.63,72.7,5720.0,31.4,5350000.0
Europe,Slovenia,1995,1.27,75.1,7960.0,34.8,1990000.0
Europe,Sweden,1995,1.73,79.1,11300.0,37.7,8760000.0
Africa,Seychelles,1995,2.35,71.0,5770.0,23.9,74700.0
Asia,Syria,1995,4.51,69.8,2300.0,16.6,14300000.0
Africa,Chad,1995,7.43,53.5,619.0,14.9,6890000.0
Africa,Togo,1995,5.76,57.5,918.0,16.6,4280000.0
Asia,Thailand,1995,1.87,70.7,3070.0,26.9,59400000.0
Asia,Tajikistan,1995,4.59,64.6,867.0,16.4,5920000.0
Asia,Turkmenistan,1995,3.51,64.6,1030.0,19.3,4230000.0
Asia,Timor-Leste,1995,6.38,62.6,990.0,17.8,819000.0
Oceania,Tonga,1995,4.45,71.6,3350.0,18.6,100000.0
North America,Trinidad and Tobago,1995,1.96,69.8,3590.0,24.5,1310000.0
Africa,Tunisia,1995,2.61,73.0,2350.0,21.2,9290000.0
Asia,Turkey,1995,2.76,70.8,3560.0,22.2,59300000.0
Africa,Tanzania,1995,5.88,52.9,523.0,15.9,30600000.0
Africa,Uganda,1995,7.02,48.0,776.0,14.3,20700000.0
Europe,Ukraine,1995,1.41,67.0,2680.0,35.1,51100000.0
South America,Uruguay,1995,2.4,73.7,7160.0,30.3,3210000.0
North America,United States,1995,1.98,76.1,20600.0,33.1,266000000.0
Asia,Uzbekistan,1995,3.53,65.7,1320.0,19.1,23000000.0
North America,St. Vincent and the Grenadines,1995,2.7,70.5,4450.0,21.0,114000.0
South America,Venezuela,1995,3.08,72.6,6290.0,20.9,22100000.0
Asia,Vietnam,1995,2.71,70.8,1010.0,20.9,73800000.0
Oceania,Vanuatu,1995,4.73,63.3,1570.0,16.6,171000.0
Oceania,Samoa,1995,4.75,67.7,2320.0,18.2,175000.0
Asia,Yemen,1995,7.53,61.1,1980.0,13.6,16100000.000000002
Africa,South Africa,1995,3.11,62.9,2540.0,20.4,44000000.0
Africa,Zambia,1995,6.19,46.8,1200.0,14.5,8680000.0
Africa,Zimbabwe,1995,4.43,54.2,2630.0,15.6,11000000.0
Asia,Afghanistan,1996,7.63,54.7,855.0,14.6,17100000.0
Africa,Angola,1996,6.85,51.7,777.0,15.4,14400000.0
Europe,Albania,1996,2.51,74.5,2260.0,24.8,3270000.0
Asia,United Arab Emirates,1996,3.23,68.9,61000.0,27.0,2570000.0
South America,Argentina,1996,2.71,73.5,8460.0,26.4,35400000.0
Europe,Armenia,1996,1.8,70.4,1950.0,27.3,3300000.0
North America,Antigua and Barbuda,1996,2.25,74.0,9180.0,26.2,69800.0
Oceania,Australia,1996,1.81,78.5,12500.0,33.0,18200000.0
Europe,Austria,1996,1.45,77.3,16000.0,35.6,7960000.0
Europe,Azerbaijan,1996,2.45,65.3,2130.0,23.4,7950000.0
Africa,Burundi,1996,7.24,43.0,485.0,14.2,5930000.0
Europe,Belgium,1996,1.61,77.3,14300.0,36.8,10100000.0
Africa,Benin,1996,6.28,56.9,833.0,16.0,6200000.0
Africa,Burkina Faso,1996,6.8,50.0,538.0,15.2,10600000.0
Asia,Bangladesh,1996,3.6,63.1,1060.0,18.6,120000000.0
Europe,Bulgaria,1996,1.28,69.3,3430.0,37.3,8400000.0
Asia,Bahrain,1996,3.01,70.7,11800.0,23.7,633000.0
North America,Bahamas,1996,2.44,70.4,13700.0,24.4,305000.0
Europe,Bosnia and Herzegovina,1996,1.69,73.5,2350.0,32.3,3910000.0
Europe,Belarus,1996,1.4,68.9,2860.0,34.0,10400000.0
North America,Belize,1996,4.01,72.2,3270.0,17.4,210000.0
South America,Bolivia,1996,4.47,64.6,3300.0,19.1,7990000.0
South America,Brazil,1996,2.49,69.5,4550.0,23.1,166000000.0
North America,Barbados,1996,1.73,74.1,9870.0,30.8,263000.0
Asia,Brunei,1996,2.78,72.0,7560.0,21.7,306000.0
Asia,Bhutan,1996,4.4,64.2,1030.0,18.5,537000.0
Africa,Botswana,1996,3.84,50.6,2370.0,17.3,1580000.0
Africa,Central African Republic,1996,5.59,44.2,517.0,15.8,3360000.0
North America,Canada,1996,1.61,78.4,16200.0,34.2,29600000.0
Europe,Switzerland,1996,1.5,79.3,19000.0,36.5,7070000.0
South America,Chile,1996,2.27,75.5,5620.0,26.5,14600000.0
Asia,China,1996,1.57,70.1,994.0,26.6,1230000000.0
Africa,Cameroon,1996,5.89,56.2,1120.0,15.7,13600000.0
South America,Colombia,1996,2.6,72.8,3380.0,22.0,36600000.0
Africa,Comoros,1996,5.25,59.2,2790.0,15.6,494000.0
Africa,Cape Verde,1996,4.38,69.7,1800.0,15.9,421000.0
North America,Costa Rica,1996,2.74,77.1,3960.0,23.4,3660000.0
North America,Cuba,1996,1.64,75.8,6800.0,29.9,11000000.0
Europe,Cyprus,1996,2.04,75.8,7420.0,29.8,880000.0
Europe,Czech Republic,1996,1.3,74.0,7110.0,35.5,10300000.0
Europe,Germany,1996,1.32,77.1,16700.0,37.7,81300000.0
Africa,Djibouti,1996,5.15,60.5,1750.0,17.6,645000.0
Europe,Denmark,1996,1.75,75.9,14600.0,36.8,5260000.0
North America,Dominican Republic,1996,3.07,73.5,4400.0,20.3,8010000.0
Africa,Algeria,1996,3.21,69.6,2320.0,18.9,29000000.0
South America,Ecuador,1996,3.29,73.5,2600.0,20.4,11800000.0
Africa,Egypt,1996,3.57,66.9,1720.0,19.1,65599999.99999999
Africa,Eritrea,1996,5.79,54.0,3300.0,17.1,2260000.0
Europe,Spain,1996,1.2,78.3,9720.0,34.8,40000000.0
Europe,Estonia,1996,1.38,70.0,3620.0,35.7,1430000.0
Africa,Ethiopia,1996,6.94,50.1,795.0,15.3,59300000.0
Europe,Finland,1996,1.76,77.2,11700.0,37.1,5120000.0
Oceania,Fiji,1996,3.24,66.0,2330.0,20.1,797000.0
Europe,France,1996,1.73,78.4,13700.0,35.7,57600000.0
Africa,Gabon,1996,4.9,60.0,2980.0,17.7,1150000.0
Europe,United Kingdom,1996,1.74,77.0,13600.0,35.7,58100000.0
Europe,Georgia,1996,1.81,70.9,2760.0,31.4,4760000.0
Africa,Ghana,1996,5.1,59.8,1160.0,16.2,17800000.0
Africa,Guinea,1996,6.33,54.0,996.0,16.8,7680000.0
Africa,Gambia,1996,6.02,61.4,664.0,15.9,1280000.0
Africa,Guinea-Bissau,1996,6.2,49.5,776.0,15.8,1140000.0
Africa,Equatorial Guinea,1996,5.96,52.7,1450.0,17.9,583000.0
Europe,Greece,1996,1.36,77.9,8970.0,36.3,10800000.0
North America,Grenada,1996,2.99,71.2,5710.0,22.1,105000.0
North America,Guatemala,1996,4.99,65.2,3070.0,16.3,10600000.0
South America,Guyana,1996,3.07,63.0,2090.0,20.8,754000.0
North America,Honduras,1996,4.53,69.4,2010.0,16.3,5980000.0
Europe,Croatia,1996,1.51,73.5,10900.0,37.1,4760000.0
North America,Haiti,1996,4.78,55.7,1210.0,17.8,7770000.0
Europe,Hungary,1996,1.49,70.8,4900.0,36.9,10300000.0
Asia,Indonesia,1996,2.63,66.4,950.0,22.5,201000000.0
Asia,India,1996,3.58,62.0,940.0,20.8,983000000.0
Europe,Ireland,1996,1.91,76.0,10200.0,30.3,3610000.0
Asia,Iran,1996,2.96,70.7,3750.0,18.5,61600000.0
Asia,Iraq,1996,5.33,67.3,1220.0,16.7,21600000.0
Europe,Iceland,1996,2.1,79.0,13100.0,30.8,269000.0
Asia,Israel,1996,2.92,78.0,8700.0,26.1,5610000.0
Europe,Italy,1996,1.23,78.5,14100.0,38.0,56900000.0
North America,Jamaica,1996,2.74,75.2,3030.0,21.4,2530000.0
Asia,Jordan,1996,4.47,71.8,2890.0,18.2,4610000.0
Asia,Japan,1996,1.39,80.7,13400.0,39.3,126000000.0
Asia,Kazakhstan,1996,2.13,63.9,2240.0,25.4,16100000.000000002
Africa,Kenya,1996,5.4,56.3,1860.0,15.1,27600000.0
Asia,Kyrgyz Republic,1996,3.16,66.3,1440.0,20.1,4670000.0
Asia,Cambodia,1996,4.5,59.1,940.0,16.5,11200000.0
Oceania,Kiribati,1996,4.3,55.6,1850.0,18.2,82800.0
Asia,South Korea,1996,1.58,74.8,8480.0,28.8,45700000.0
Asia,Kuwait,1996,2.8,78.8,19800.0,25.0,1700000.0
Asia,Lao,1996,5.17,56.1,1030.0,16.8,5040000.0
Asia,Lebanon,1996,2.54,73.5,6890.0,22.0,4030000.0000000005
Africa,Liberia,1996,6.11,49.6,261.0,17.2,2200000.0
Africa,Libya,1996,3.44,73.5,12100.0,20.1,4820000.0
North America,St. Lucia,1996,2.77,71.8,1240.0,21.3,154000.0
Asia,Sri Lanka,1996,2.27,70.8,1780.0,25.2,18300000.0
Africa,Lesotho,1996,4.48,55.8,795.0,17.8,1960000.0
Europe,Lithuania,1996,1.57,70.3,3670.0,33.4,3720000.0
Europe,Luxembourg,1996,1.72,76.9,19300.0,35.7,413000.0
Europe,Latvia,1996,1.27,69.0,3370.0,35.3,2530000.0
Africa,Morocco,1996,3.16,68.1,2410.0,20.0,27000000.0
Europe,Moldova,1996,1.81,66.9,1660.0,31.1,4430000.0
Africa,Madagascar,1996,5.91,58.2,708.0,16.2,14300000.0
Asia,Maldives,1996,3.98,69.2,1440.0,16.1,264000.0
North America,Mexico,1996,2.95,72.7,2610.0,20.6,91600000.0
Europe,North Macedonia,1996,1.92,71.0,2770.0,31.4,1990000.0
Africa,Mali,1996,7.02,51.9,537.0,15.2,10100000.0
Europe,Malta,1996,1.93,78.0,11100.0,34.4,385000.0
Asia,Myanmar,1996,2.99,57.4,394.0,21.9,43400000.0
Europe,Montenegro,1996,1.95,74.1,3880.0,30.9,633000.0
Asia,Mongolia,1996,2.57,59.6,1460.0,19.4,2360000.0
Africa,Mozambique,1996,5.92,52.6,469.0,16.9,16100000.000000002
Africa,Mauritania,1996,5.7,61.7,1540.0,16.5,2430000.0
Africa,Mauritius,1996,2.1,71.2,2770.0,26.6,1170000.0
Africa,Malawi,1996,6.36,46.0,1340.0,15.8,10300000.0
Asia,Malaysia,1996,3.24,72.2,5530.0,22.1,20700000.0
Africa,Namibia,1996,4.47,59.2,2410.0,17.7,1650000.0
Africa,Niger,1996,7.72,50.0,518.0,15.4,10100000.0
Africa,Nigeria,1996,6.22,54.4,850.0,16.7,111000000.0
North America,Nicaragua,1996,3.62,71.5,2060.0,16.9,4810000.0
Europe,Netherlands,1996,1.53,77.8,14200.0,35.2,15500000.0
Europe,Norway,1996,1.89,78.3,16800.0,35.2,4380000.0
Asia,Nepal,1996,4.6,62.6,798.0,18.2,22800000.0
Oceania,New Zealand,1996,2.07,77.0,13300.0,31.9,3730000.0
Asia,Oman,1996,4.98,68.1,7160.0,18.9,2210000.0
Asia,Pakistan,1996,5.2,60.4,1220.0,16.7,137000000.0
North America,Panama,1996,2.83,77.0,4810.0,22.2,2770000.0
South America,Peru,1996,3.23,72.5,2760.0,20.3,24900000.0
Asia,Philippines,1996,3.96,69.9,1890.0,19.3,70900000.0
Oceania,Papua New Guinea,1996,4.65,63.4,1110.0,18.1,4790000.0
Europe,Poland,1996,1.65,72.5,2210.0,33.2,38400000.0
Asia,North Korea,1996,2.08,62.6,1130.0,27.3,22600000.0
Europe,Portugal,1996,1.45,75.6,8500.0,35.5,10100000.0
South America,Paraguay,1996,4.01,75.1,4990.0,18.6,4710000.0
Asia,Qatar,1996,3.53,70.6,6700.0,28.6,529000.0
Europe,Romania,1996,1.34,69.0,1950.0,33.2,22400000.0
Asia,Russia,1996,1.27,66.1,4850.0,34.3,148000000.0
Africa,Rwanda,1996,6.05,47.7,666.0,13.9,6720000.0
Asia,Saudi Arabia,1996,4.75,69.6,9140.0,19.5,19400000.0
Africa,Sudan,1996,5.76,61.5,1010.0,15.3,23900000.0
Africa,Senegal,1996,5.88,59.5,896.0,16.1,8840000.0
Asia,Singapore,1996,1.66,77.4,14800.0,31.8,3650000.0
Oceania,Solomon Islands,1996,5.08,56.7,1600.0,16.7,386000.0
Africa,Sierra Leone,1996,6.56,51.8,785.0,17.1,4350000.0
North America,El Salvador,1996,3.48,72.2,2200.0,18.8,5800000.0
Africa,Somalia,1996,7.68,50.4,415.0,15.5,7470000.0
Europe,Serbia,1996,1.86,70.4,3990.0,37.4,7990000.0
Africa,South Sudan,1996,6.5,56.2,678.0,15.3,5430000.0
Africa,Sao Tome and Principe,1996,5.49,64.1,1150.0,16.0,135000.0
South America,Suriname,1996,3.0,71.4,2540.0,21.6,444000.0
Europe,Slovak Republic,1996,1.53,73.2,5520.0,31.7,5360000.0
Europe,Slovenia,1996,1.25,75.3,8150.0,35.2,1990000.0
Europe,Sweden,1996,1.6,79.3,11500.0,37.8,8790000.0
Africa,Seychelles,1996,2.28,71.1,5970.0,24.1,75500.0
Asia,Syria,1996,4.41,70.1,2470.0,16.8,14700000.0
Africa,Chad,1996,7.43,53.1,612.0,15.0,7200000.0
Africa,Togo,1996,5.67,57.2,971.0,16.7,4450000.0
Asia,Thailand,1996,1.82,70.6,3200.0,27.6,60200000.0
Asia,Tajikistan,1996,4.46,64.1,712.0,16.3,6040000.0
Asia,Turkmenistan,1996,3.32,64.2,1050.0,19.4,4300000.0
Asia,Timor-Leste,1996,6.63,64.2,1100.0,17.6,831000.0
Oceania,Tonga,1996,4.39,71.6,3340.0,18.6,100000.0
North America,Trinidad and Tobago,1996,1.9,69.5,3740.0,24.8,1310000.0
Africa,Tunisia,1996,2.49,73.3,2430.0,21.6,9430000.0
Asia,Turkey,1996,2.71,71.5,3600.0,22.5,60300000.0
Africa,Tanzania,1996,5.83,52.7,503.0,16.1,31100000.0
Africa,Uganda,1996,6.99,48.1,800.0,14.1,21200000.0
Europe,Ukraine,1996,1.34,67.3,2240.0,35.4,50600000.0
South America,Uruguay,1996,2.36,73.9,7080.0,30.4,3230000.0
North America,United States,1996,1.98,76.4,21000.0,33.3,269000000.0
Asia,Uzbekistan,1996,3.36,65.2,1220.0,19.3,23500000.0
North America,St. Vincent and the Grenadines,1996,2.64,70.5,4510.0,21.4,114000.0
South America,Venezuela,1996,3.02,73.3,5890.0,21.1,22600000.0
Asia,Vietnam,1996,2.53,71.1,1040.0,21.2,74900000.0
Oceania,Vanuatu,1996,4.68,63.3,1570.0,16.6,175000.0
Oceania,Samoa,1996,4.69,67.8,2470.0,18.3,177000.0
Asia,Yemen,1996,7.25,61.5,2000.0,13.7,16600000.000000002
Africa,South Africa,1996,3.04,61.8,2450.0,20.3,44700000.0
Africa,Zambia,1996,6.15,46.1,1310.0,14.5,8900000.0
Africa,Zimbabwe,1996,4.33,52.5,2860.0,15.9,11200000.0
Asia,Afghanistan,1997,7.64,54.5,880.0,14.5,17800000.0
Africa,Angola,1997,6.79,51.6,816.0,15.5,14900000.0
Europe,Albania,1997,2.42,72.9,2260.0,25.1,3250000.0
Asia,United Arab Emirates,1997,3.06,69.0,62900.0,26.6,2750000.0
South America,Argentina,1997,2.66,73.6,9110.0,26.5,35800000.0
Europe,Armenia,1997,1.7,71.1,1770.0,27.6,3270000.0
North America,Antigua and Barbuda,1997,2.28,73.5,8760.0,26.5,71200.0
Oceania,Australia,1997,1.79,78.8,12800.0,33.4,18400000.0
Europe,Austria,1997,1.39,77.7,16400.0,36.0,7970000.0
Europe,Azerbaijan,1997,2.33,65.7,2200.0,23.6,8000000.0
Africa,Burundi,1997,7.18,43.0,478.0,14.0,5920000.0
Europe,Belgium,1997,1.61,77.5,14800.0,37.1,10200000.0
Africa,Benin,1997,6.2,57.1,854.0,16.0,6390000.0
Africa,Burkina Faso,1997,6.75,50.8,564.0,15.2,10900000.0
Asia,Bangladesh,1997,3.47,63.8,1070.0,18.9,122000000.0
Europe,Bulgaria,1997,1.23,68.9,2570.0,37.6,8320000.0
Asia,Bahrain,1997,2.93,70.9,11800.0,23.9,653000.0
North America,Bahamas,1997,2.36,71.1,13700.0,24.7,310000.0
Europe,Bosnia and Herzegovina,1997,1.66,73.9,3180.0,32.2,4050000.0
Europe,Belarus,1997,1.34,68.7,2160.0,34.4,10400000.0
North America,Belize,1997,3.91,71.4,3260.0,17.7,217000.0
South America,Bolivia,1997,4.37,65.0,3420.0,19.2,8140000.000000001
South America,Brazil,1997,2.46,70.1,4500.0,23.4,169000000.0
North America,Barbados,1997,1.74,74.2,9870.0,31.3,263000.0
Asia,Brunei,1997,2.63,72.1,8340.0,21.8,313000.0
Asia,Bhutan,1997,4.2,64.8,1060.0,18.7,547000.0
Africa,Botswana,1997,3.72,49.0,2460.0,17.6,1620000.0
Africa,Central African Republic,1997,5.56,43.8,542.0,15.8,3460000.0
North America,Canada,1997,1.58,78.6,16200.0,34.6,29900000.0
Europe,Switzerland,1997,1.49,79.6,19400.0,36.8,7090000.0
South America,Chile,1997,2.23,76.0,5820.0,26.9,14800000.0
Asia,China,1997,1.53,70.5,1030.0,27.2,1240000000.0
Africa,Cameroon,1997,5.8,55.7,1200.0,15.8,13900000.0
South America,Colombia,1997,2.54,73.5,3310.0,22.2,37300000.0
Africa,Comoros,1997,5.27,60.1,2830.0,15.7,505000.0
Africa,Cape Verde,1997,4.22,69.5,1950.0,16.1,431000.0
North America,Costa Rica,1997,2.65,77.2,4180.0,23.6,3740000.0
North America,Cuba,1997,1.63,76.2,6930.0,30.5,11000000.0
Europe,Cyprus,1997,1.95,75.9,7500.0,30.0,897000.0
Europe,Czech Republic,1997,1.22,74.1,7240.0,35.7,10300000.0
Europe,Germany,1997,1.33,77.5,17000.0,38.0,81400000.0
Africa,Djibouti,1997,4.96,60.4,1690.0,17.9,668000.0
Europe,Denmark,1997,1.75,76.3,15000.0,36.9,5280000.0
North America,Dominican Republic,1997,3.01,73.3,4810.0,20.5,8150000.0
Africa,Algeria,1997,2.99,69.7,2360.0,19.3,29500000.0
South America,Ecuador,1997,3.23,74.2,2550.0,20.6,12000000.0
Africa,Egypt,1997,3.46,67.2,1810.0,19.3,67000000.0
Africa,Eritrea,1997,5.67,54.5,3820.0,16.8,2290000.0
Europe,Spain,1997,1.2,78.8,10000.0,35.2,40200000.0
Europe,Estonia,1997,1.34,70.3,3940.0,36.0,1420000.0
Africa,Ethiopia,1997,6.86,50.6,789.0,15.2,61200000.0
Europe,Finland,1997,1.75,77.3,12400.0,37.4,5140000.0
Oceania,Fiji,1997,3.21,65.9,2260.0,20.3,805000.0
Europe,France,1997,1.75,78.7,14000.0,36.0,57800000.0
Africa,Gabon,1997,4.81,60.2,3070.0,17.8,1180000.0
Europe,United Kingdom,1997,1.73,77.3,14000.0,35.9,58300000.0
Europe,Georgia,1997,1.75,70.9,1930.0,31.7,4640000.0
Africa,Ghana,1997,5.04,59.5,1210.0,16.5,18300000.0
Africa,Guinea,1997,6.27,54.2,958.0,16.7,7840000.0
Africa,Gambia,1997,6.0,61.1,677.0,15.9,1320000.0
Africa,Guinea-Bissau,1997,6.11,50.0,785.0,15.9,1160000.0
Africa,Equatorial Guinea,1997,5.94,54.4,1470.0,17.9,606000.0
Europe,Greece,1997,1.35,78.1,9330.0,36.5,10900000.0
North America,Grenada,1997,2.87,71.6,5970.0,22.4,106000.0
North America,Guatemala,1997,4.9,65.3,3290.0,16.4,10900000.0
South America,Guyana,1997,3.06,63.3,2250.0,20.9,755000.0
North America,Honduras,1997,4.41,69.6,2430.0,16.5,6140000.0
Europe,Croatia,1997,1.51,73.5,11400.0,37.3,4710000.0
North America,Haiti,1997,4.67,56.1,1220.0,17.9,7920000.0
Europe,Hungary,1997,1.43,71.0,4680.0,37.1,10300000.0
Asia,Indonesia,1997,2.58,66.7,817.0,22.8,205000000.0
Asia,India,1997,3.51,61.9,952.0,21.0,1000000000.0
Europe,Ireland,1997,1.92,76.1,11100.0,30.6,3640000.0
Asia,Iran,1997,2.73,70.9,3870.0,19.0,62500000.0
Asia,Iraq,1997,5.22,67.5,1440.0,16.8,22300000.0
Europe,Iceland,1997,2.07,79.2,13700.0,31.1,271000.0
Asia,Israel,1997,2.92,78.2,8780.0,26.2,5740000.0
Europe,Italy,1997,1.23,78.8,14300.0,38.3,56900000.0
North America,Jamaica,1997,2.7,75.0,3340.0,21.5,2550000.0
Asia,Jordan,1997,4.35,72.0,2810.0,18.3,4730000.0
Asia,Japan,1997,1.37,81.0,13500.0,39.7,126000000.0
Asia,Kazakhstan,1997,2.05,64.1,2170.0,25.7,15800000.0
Africa,Kenya,1997,5.35,55.5,1870.0,15.2,28400000.0
Asia,Kyrgyz Republic,1997,3.02,66.8,1490.0,20.3,4740000.0
Asia,Cambodia,1997,4.33,59.4,898.0,16.5,11400000.0
Oceania,Kiribati,1997,4.24,55.8,1850.0,18.2,84300.0
Asia,South Korea,1997,1.53,75.3,8900.0,29.3,46000000.0
Asia,Kuwait,1997,2.86,77.8,19300.0,24.9,1760000.0
Asia,Lao,1997,4.94,56.7,1000.0,16.9,5150000.0
Asia,Lebanon,1997,2.47,73.9,6680.0,22.3,4110000.0000000005
Africa,Liberia,1997,6.06,52.4,500.0,17.3,2380000.0
Africa,Libya,1997,3.27,75.0,11800.0,20.4,4900000.0
North America,St. Lucia,1997,2.64,72.3,1260.0,21.8,155000.0
Asia,Sri Lanka,1997,2.25,70.5,1830.0,25.5,18400000.0
Africa,Lesotho,1997,4.39,54.1,802.0,18.0,1970000.0
Europe,Lithuania,1997,1.5,71.2,3790.0,33.8,3690000.0
Europe,Luxembourg,1997,1.72,77.2,20100.0,35.9,418000.0
Europe,Latvia,1997,1.22,69.7,3550.0,35.7,2500000.0
Africa,Morocco,1997,3.04,68.4,2360.0,20.3,27400000.0
Europe,Moldova,1997,1.72,68.1,1640.0,31.3,4390000.0
Africa,Madagascar,1997,5.84,58.4,700.0,16.2,14800000.0
Asia,Maldives,1997,3.67,69.8,1570.0,16.4,269000.0
North America,Mexico,1997,2.88,72.9,2750.0,20.9,93200000.0
Europe,North Macedonia,1997,1.86,71.2,2790.0,31.7,2000000.0
Africa,Mali,1997,6.98,51.1,585.0,15.2,10400000.0
Europe,Malta,1997,1.89,78.2,11600.0,34.8,389000.0
Asia,Myanmar,1997,2.97,57.7,411.0,22.1,44000000.0
Europe,Montenegro,1997,1.93,73.8,4050.0,31.2,634000.0
Asia,Mongolia,1997,2.43,60.0,1280.0,19.7,2380000.0
Africa,Mozambique,1997,5.88,52.6,485.0,16.8,16500000.0
Africa,Mauritania,1997,5.64,62.2,1570.0,16.4,2480000.0
Africa,Mauritius,1997,2.07,71.1,2890.0,26.9,1180000.0
Africa,Malawi,1997,6.31,45.7,1360.0,15.9,10500000.0
Asia,Malaysia,1997,3.15,72.5,6170.0,22.3,21200000.0
Africa,Namibia,1997,4.35,58.0,2430.0,17.7,1690000.0
Africa,Niger,1997,7.71,50.5,530.0,15.4,10500000.0
Africa,Nigeria,1997,6.19,54.6,850.0,16.8,114000000.0
North America,Nicaragua,1997,3.47,72.4,2090.0,17.1,4900000.0
Europe,Netherlands,1997,1.56,78.0,14700.0,35.5,15600000.0
Europe,Norway,1997,1.86,78.5,17600.0,35.4,4410000.0
Asia,Nepal,1997,4.47,63.4,837.0,18.2,23200000.0
Oceania,New Zealand,1997,2.05,77.4,13500.0,32.2,3780000.0
Asia,Oman,1997,4.63,68.4,7550.0,19.0,2250000.0
Asia,Pakistan,1997,5.05,60.5,1220.0,16.8,141000000.0
North America,Panama,1997,2.81,76.7,4900.0,22.5,2830000.0
South America,Peru,1997,3.14,73.0,3050.0,20.5,25400000.0
Asia,Philippines,1997,3.92,70.1,2040.0,19.4,72700000.0
Oceania,Papua New Guinea,1997,4.63,63.5,1110.0,18.2,4960000.0
